iter	Passed	Remaining
603	62814	124381
604	62916	124273
605	63026	124181
606	63124	124064
607	63229	123962
608	63330	123853
609	63425	123732
610	63523	123617
611	63647	123551
612	63753	123450
613	63856	123344
614	63951	123223
615	64053	123115
616	64177	123050
617	64316	123013
618	64417	122902
619	64521	122798
620	64624	122693
621	64730	122592
622	64836	122492
623	64941	122388
624	65035	122266
625	65151	122185
626	65255	122080
627	65385	122024
628	65495	121931
629	65609	121845
630	65708	121732
631	65812	121627
632	65922	121534
633	66024	121427
634	66119	121305
635	66217	121190
636	66322	121087
637	66424	120980
638	66525	120870
639	66625	120758
640	66726	120648
641	66837	120556
642	66935	120442
643	67063	120380
644	67164	120270
645	67291	120207
646	67405	120121
647	67529	120052
648	67651	119980
649	67763	119888
650	67891	119826
651	68001	119732
652	68106	119629
653	68222	119546
654	68336	119459
655	68439	119352
656	68546	119252
657	68664	119171
658	68762	119056
659	68864	118948
660	68962	118832
661	69069	118733
662	69165	118613
663	69272	118513
664	69370	118398
665	69469	118286
666	69569	118174
667	69672	118067
668	69770	117952
669	69881	117859
670	69980	117746
671	70079	117634
672	70184	117529
673	70304	117452
674	70413	117355
675	70517	117251
676	70615	117135
677	70710	117017
678	70804	116895
679	70917	116804
680	71017	116693
681	71116	116581
682	71234	116499
683	71337	116392
684	71441	116287
685	71550	116191
686	71664	116103
687	71766	115994
688	71868	115886
689	71976	115787
690	72075	115674
691	72173	115560
692	72270	115444
693	72375	115342
694	72481	115240
695	72594	115150
696	72696	115041
697	72805	114945
698	72899	114824
699	72994	114705
700	73091	114589
701	73202	114496
702	73306	114390
703	73406	114281
704	73507	114170
705	73614	114071
706	73713	113959
707	73809	113842
708	73903	113721
709	74011	113623
710	74111	113512
711	74209	113398
712	74309	113287
713	74410	113179
714	74518	113079
715	74622	112975
716	74729	112875
717	74833	112771
718	74928	112653
719	75032	112548
720	75127	112431
721	75226	112318
722	75332	112217
723	75432	112107
724	75541	112009
725	75656	111921
726	75762	111819
727	75865	111714
728	75959	111594
729	76045	111464
730	76148	111357
731	76259	111263
732	76357	111150
733	76473	111064
734	76575	110956
735	76683	110857
736	76794	110763
737	76903	110665
738	77017	110575
739	77115	110463
740	77208	110343
741	77330	110264
742	77422	110142
743	77538	110054
744	77634	109939
745	77744	109842
746	77837	109722
747	77950	109630
748	78045	109514
749	78143	109401
750	78235	109279
751	78343	109181
752	78443	109071
753	78541	108958
754	78672	108891
755	78779	108790
756	78878	108678
757	78983	108576
758	79085	108469
759	79214	108398
760	79325	108304
761	79444	108220
762	79569	108143
763	79690	108061
764	79797	107961
765	79909	107867
766	80033	107789
767	80211	107783
768	80334	107705
769	80456	107623
770	80561	107519
771	80682	107437
772	80787	107332
773	80896	107234
774	80997	107125
775	81101	107020
776	81201	106909
777	81307	106807
778	81405	106694
779	81512	106592
780	81615	106486
781	81713	106374
782	81811	106260
783	81918	106160
784	82019	106050
785	82115	105935
786	82214	105823
787	82310	105708
788	82409	105597
789	82515	105494
790	82612	105380
791	82714	105272
792	82812	105159
793	82910	105048
794	83010	104937
795	83125	104846
796	83226	104738
797	83326	104628
798	83427	104519
799	83542	104427
800	83638	104313
801	83750	104217
802	83849	104106
803	83949	103996
804	84045	103882
805	84151	103779
806	84251	103670
807	84363	103575
808	84467	103470
809	84573	103368
810	84673	103257
811	84799	103179
812	84905	103077
813	85010	102973
814	85114	102868
815	85212	102756
816	85305	102638
817	85402	102524
818	85501	102413
819	85606	102309
820	85715	102210
821	85827	102115
822	85928	102007
823	86035	101905
824	86134	101794
825	86242	101695
826	86342	101585
827	86438	101471
828	86543	101367
829	86645	101260
830	86743	101148
831	86846	101042
832	86936	100921
833	87034	100809
834	87136	100702
835	87242	100600
836	87339	100487
837	87449	100390
838	87550	100281
839	87650	100171
840	87749	100061
841	87870	99976
842	87985	99883
843	88089	99779
844	88177	99655
845	88289	99560
846	88396	99458
847	88498	99351
848	88600	99244
849	88705	99141
850	88811	99038
851	88918	98937
852	89030	98841
853	89132	98734
854	89231	98624
