Fecha Transaccion,Lote Completo,Tipo de Granjero,Formula  ,Nombre Formula                   ,Neto Relativo,Costo      ,Base de precios unitarios,Transaccion,Nombre Tipo Alimento
2/10/2026        ,STO2005-2601 ,Granja Propia   ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,20730.00     ,10684.50   ,0.51541241               ,Despacho   ,Engorde 4           
2/10/2026        ,STO5023-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,6076.00      ,4228.90    ,0.69600000               ,Despacho   ,Engorde 4           
2/10/2026        ,STO5023-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,9114.00      ,6343.34    ,0.69600000               ,Despacho   ,Engorde 4           
2/10/2026        ,STO2005-2601 ,Granja Propia   ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,20280.00     ,10452.56   ,0.51541241               ,Despacho   ,Engorde 4           
2/10/2026        ,STO5028-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15250.00     ,10507.25   ,0.68900000               ,Despacho   ,Engorde 4           
2/10/2026        ,STO5028-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,14920.00     ,8892.32    ,0.59600000               ,Despacho   ,Engorde 2           
2/10/2026        ,STO5028-2601 ,PCA             ,T112R1N0 ,Engorde 2 peletizado             ,14580.00     ,8689.68    ,0.59600000               ,Despacho   ,Engorde 2           
2/10/2026        ,BUC3018-2601 ,PCA             ,T110N1I0 ,Engorde 0      Gra Re CD         ,18340.00     ,10930.64   ,0.59600000               ,Despacho   ,Engorde 0           
2/10/2026        ,STO5046-2601 ,PCA             ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,-5120.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/10/2026        ,STO2004-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,26210.00     ,13625.71   ,0.51986666               ,Despacho   ,Engorde 1           
2/10/2026        ,BUC3035-2601A,PCA             ,T110N1I0 ,Engorde 0      Gra Re CD         ,17460.00     ,10406.16   ,0.59600000               ,Despacho   ,Engorde 0           
2/11/2026        ,BUC3010-2601 ,PCA             ,T110N1I0 ,Engorde 0      Gra Re CD         ,15660.00     ,9333.36    ,0.59600000               ,Despacho   ,Engorde 0           
2/11/2026        ,STO5027-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,15210.00     ,9065.16    ,0.59600000               ,Despacho   ,Engorde 1           
2/11/2026        ,STO5005-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,12430.00     ,7408.28    ,0.59600000               ,Despacho   ,Engorde 0           
2/11/2026        ,BUC1006-2601A,Granja Propia   ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,17630.00     ,9779.36    ,0.55470022               ,Despacho   ,Engorde 1           
2/11/2026        ,STO5005-2601 ,PCA             ,T110N1BA ,Engorde 0      Gra Re CQ 45Kg    ,12600.00     ,7257.60    ,0.57600000               ,Despacho   ,Engorde 0           
2/11/2026        ,STO5005-2601 ,PCA             ,T110N1B0 ,Engorde 0      Gra Re CQ         ,15290.00     ,9112.84    ,0.59600000               ,Despacho   ,Engorde 0           
2/11/2026        ,BUC1010-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,20960.00     ,10140.55   ,0.48380493               ,Despacho   ,Engorde 4           
2/11/2026        ,BUC1006-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,21710.00     ,11283.22   ,0.51972458               ,Despacho   ,Engorde 1           
2/11/2026        ,BUC3048-2601 ,PCA             ,T114R1I0 ,Engorde 4          Pel Re CD     ,20910.00     ,12044.16   ,0.57600000               ,Despacho   ,Engorde 4           
2/11/2026        ,BUC3011-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,15630.00     ,9315.48    ,0.59600000               ,Despacho   ,Engorde 2           
2/11/2026        ,STO5044-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,16200.00     ,9655.20    ,0.59600000               ,Despacho   ,Engorde 1           
2/11/2026        ,STO5044-2601 ,PCA             ,T111P1N0 ,Engorde 1      Mig Re CQ         ,14000.00     ,8344.00    ,0.59600000               ,Despacho   ,Engorde 1           
2/11/2026        ,BUC1002-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,23140.00     ,11755.12   ,0.50800014               ,Despacho   ,Engorde 2           
2/11/2026        ,BUC1002-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,24740.00     ,12567.92   ,0.50800014               ,Despacho   ,Engorde 2           
2/11/2026        ,BUC1007-2601 ,Granja Propia   ,T114R1I0 ,Engorde 4          Pel Re CD     ,21660.00     ,10388.14   ,0.47959999               ,Despacho   ,Engorde 4           
2/11/2026        ,STO5012-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,20890.00     ,12032.64   ,0.57600000               ,Despacho   ,Engorde 2           
2/11/2026        ,STO2003-2601 ,Granja Propia   ,T112R1I0 ,Engorde 2     Mig Re CD          ,21160.00     ,10756.29   ,0.50833127               ,Despacho   ,Engorde 2           
2/11/2026        ,BUC3020-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,20810.00     ,12402.76   ,0.59600000               ,Despacho   ,Engorde 2           
2/11/2026        ,BUC3040-2601 ,PCA             ,T113R1I0 ,Engorde 3          Pel Re CD     ,18730.00     ,11163.08   ,0.59600000               ,Despacho   ,Engorde 3           
2/11/2026        ,BUC3026-2601 ,PCA             ,T112R1I0 ,Engorde 2     Mig Re CD          ,21310.00     ,12700.76   ,0.59600000               ,Despacho   ,Engorde 2           
2/11/2026        ,STO5053-2601 ,PCA             ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,-2720.00     ,0.00       ,0.00000000               ,Credito    ,Engorde 4           
2/11/2026        ,BUC3040-2601A,PCA             ,T113R1IW0,ENGORDE 3 PEL RE ESP BD GRANEL   ,24730.00     ,14739.08   ,0.59600000               ,Despacho   ,Engorde 3           
2/11/2026        ,STO2005-2601 ,Granja Propia   ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,20370.00     ,10880.18   ,0.53412781               ,Despacho   ,Engorde 4           
2/11/2026        ,BUC3023-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,14760.00     ,10169.64   ,0.68900000               ,Despacho   ,Engorde 1           
2/11/2026        ,BUC1001-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,22460.00     ,11708.15   ,0.52128875               ,Despacho   ,Engorde 1           
2/11/2026        ,BUC1001-2601 ,Granja Propia   ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,20840.00     ,10863.66   ,0.52128875               ,Despacho   ,Engorde 1           
2/11/2026        ,STO2005-2601 ,Granja Propia   ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,22910.00     ,12236.87   ,0.53412781               ,Despacho   ,Engorde 4           
2/11/2026        ,STO2005-2601 ,Granja Propia   ,T114R1N0W,Engorde 4      PEL RE ESP CQ.    ,15610.00     ,8045.59    ,0.51541241               ,Despacho   ,Engorde 4           
2/11/2026        ,STO2005-2601 ,Granja Propia   ,T114R1I0K,ENGOR 4 PEL PLUS CD GRANEL       ,21760.00     ,11622.62   ,0.53412781               ,Despacho   ,Engorde 4           
2/11/2026        ,BUC3025-2601 ,PCA             ,T111R1I0 ,ENGORDE 1 PEL REL CD GRANEL      ,17620.00     ,12140.18   ,0.68900000               ,Despacho   ,Engorde 1           
2/11/2026        ,BUC3025-2601A,PCA             ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,15520.00     ,10476.00   ,0.67500000               ,Despacho   ,Engorde 1           
2/11/2026        ,BUC3052-2601A,PCA             ,T111R1IW0,ENGORDE 1 PEL REL ESP CDGRANEL   ,15340.00     ,10354.50   ,0.67500000               ,Despacho   ,Engorde 1           
